incidentid,LocationID,CityCde,CityName,CountyCde,COUNTYNAMETXT,LocationTypeCde,LocationTypeDesc,LocDescription,LocStreetNumber,LocStreetDir,LocStreetName,LocStreetSfx,LocAptNumber,LocalRdwyNumber,LocZip,LocZipExtension,StateCde,LatDecimal,LatDegrees,LatMinutes,LongDecimal,LongDegrees,LongMinutes,MilePointNumber,DirFromCityCde,MilesFromCity,Sector,InCityLimits,IncidentLocationTypeCde,RdwyNumber
22684524,30165742,7301,PADUCAH,73,MCCRACKEN,13,,US0060,2921,,IRVIN COBB,DR,,,42001,,KY,37.05612028,37,3.367,-88.57343647,88,34.406,16.886,,,,,1,US0060
22686921,30168759,7301,PADUCAH,73,MCCRACKEN,7,Plot,613 S 3RD ST DOLLAR GENERAL,613,,US60 BUS,,,,42001,,KY,37.08095159,37,4.857,-88.59289634,88,35.574,2.206,,,2,TRUE,1,US0060X
22688491,30170750,7301,PADUCAH,73,MCCRACKEN,14,,ECONO LODGE,5120,,US60,,,,42001,,KY,37.07656234,37,4.594,-88.68709234,88,41.226,10.317,,,7,TRUE,1,US0060
22688494,30170753,7301,PADUCAH,73,MCCRACKEN,20,,624 N 34TH ST,624,N,34TH,ST,A,,42001,,KY,37.07477116,37,4.486,-88.64536848,88,38.722,0.185,,,3,TRUE,1,
22689093,30171472,7301,PADUCAH,73,MCCRACKEN,20,,5240 OGILVIE AVE,5240,,OGILVIE,AVE,,,42001,,KY,37.06163633,37,3.698,-88.67227045,88,40.336,0.049,,,5,TRUE,1,
22689094,30171473,7301,PADUCAH,73,MCCRACKEN,,,WALMART,5130,,US60,,,,42001,,KY,37.07628572,37,4.577,-88.68810524,88,41.286,10.258,,,7,TRUE,1,US0060
22689096,30171475,7301,PADUCAH,73,MCCRACKEN,20,,115 MIMOSA LN,115,,MIMOSA,LN,,,42001,,KY,37.06680214,37,4.008,-88.64665375,88,38.799,0.013,,,,TRUE,1,
22690859,30173622,7301,PADUCAH,73,MCCRACKEN,20,,2845 TRIMBLE ST - HOLIDAY HOUSE APTS,2845,,TRIMBLE,ST,6,,42001,,KY,37.0790811,37,4.745,-88.63657162,88,38.194,0.31,,,3,,1,
22694643,30178126,7301,PADUCAH,73,MCCRACKEN,,,S 7TH ST,728,S,7TH,ST,,,42001,,KY,37.08470619,37,5.082,-88.60147803,88,36.089,0.039,,,2,TRUE,1,
22696750,30180711,7301,PADUCAH,73,MCCRACKEN,8,,KMART,,,US45,,,,42001,,KY,37.04476368,37,2.686,-88.65655827,88,39.393,7.436,,,5,TRUE,1,US0045
22704332,30189407,7301,PADUCAH,73,MCCRACKEN,20,,RESIDENCE,959,,BEECHDALE,RD,,,42001,,KY,37.05415771,37,3.249,-88.63784487,88,38.271,0.223,,,5,TRUE,1,
22704335,30189410,7301,PADUCAH,73,MCCRACKEN,20,,RESIDENCE OF MAE HENRY,415,,HARAHAN,BLVD,,,42001,,KY,37.0838444,37,5.031,-88.61631611,88,36.979,0.192,,,1,TRUE,1,
22704338,30189413,7301,PADUCAH,73,MCCRACKEN,18,,3220 IRVIN COBB DR WALMART,3220,,US60,,,,42001,,KY,37.05132651,37,3.08,-88.56705612,88,34.023,17.362,,,6,,1,US0060
22704339,30189414,7301,PADUCAH,73,MCCRACKEN,8,,THEFT AT WAL-MART,3220,,US60,,,,42003,,KY,37.05105941,37,3.064,-88.56750732,88,34.05,17.375,,,6,TRUE,1,US0060
22704341,30189416,7301,PADUCAH,73,MCCRACKEN,43,,5101 HINKLEVILLE RD KYOM,5101,,US60,,,,42001,,KY,37.07721315,37,4.633,-88.68548001,88,41.129,10.415,,,7,TRUE,1,US0060
22705330,30190700,7301,PADUCAH,73,MCCRACKEN,13,,2316 OHIO ST,2316,,OHIO,ST,9,,42001,,KY,37.0700265,37,4.202,-88.61999672,88,37.2,0.883,,,4,TRUE,1,
22705331,30190701,7301,PADUCAH,73,MCCRACKEN,24,,BRIDGE ST,,,BRIDGE,ST,,,42001,,KY,37.06570613,37,3.942,-88.58936869,88,35.362,0.05,,,6,TRUE,1,
22711521,30197811,7301,PADUCAH,73,MCCRACKEN,8,,KOHLS,5191,,US60,,,,42001,,KY,37.07389987,37,4.434,-88.69643398,88,41.786,9.675,,,7,TRUE,1,US0060
22714419,30201250,7301,PADUCAH,73,MCCRACKEN,20,,1418 MADISON ST,1418,,MADISON,ST,,,42001,,KY,37.08375313,37,5.025,-88.61482448,88,36.889,1.328,,,1,TRUE,1,
22714437,30201268,7301,PADUCAH,73,MCCRACKEN,7,Plot,FIVESTAR,1415,,US45,,,,42001,,KY,37.05424609,37,3.255,-88.64588755,88,38.753,8.335,,,5,TRUE,1,US0045
22716982,30204265,7301,PADUCAH,73,MCCRACKEN,,,NEURO-RESTORATIVE HOUSING,937,,TIPTON,LN,,CS1583,42001,,,37.0760733,37,4.564,-88.6587677,88,39.526,0.037,,,3,,1,
22717009,30204295,7301,PADUCAH,73,MCCRACKEN,,,US60,,,US60,,,,42001,,KY,37.04922769,37,2.954,-88.5652949,88,33.918,17.552,,,6,TRUE,1,US0060
22719427,30207345,7301,PADUCAH,73,MCCRACKEN,19,,1700 GUTHRIE ST,1700,,GUTHRIE,ST,,,42001,,KY,37.07103801,37,4.262,-88.61108808,88,36.665,0.057,,,4,,1,
22721921,30210291,7301,PADUCAH,73,MCCRACKEN,20,,952 N H C MATHIS DR,952,N,H C MATHIS,DR,,,42001,,KY,37.08913854,37,5.348,-88.63318583,88,37.991,11.452,,,1,TRUE,1,US0045
22721927,30210296,7301,PADUCAH,73,MCCRACKEN,,,816 H C MATHIS DR,816,,H C MATHIS,DR,,,42001,,,37.0855555,37,5.133,-88.6335451,88,38.013,11.201,,,1,,1,
22721929,30210299,7301,PADUCAH,73,MCCRACKEN,20,,158 RED FOX TRL,158,,RED FOX,TRL,,,42001,,KY,37.06938685,37,4.163,-88.66495536,88,39.897,0.169,,,7,TRUE,1,
22721930,30210300,7301,PADUCAH,73,MCCRACKEN,18,,S 25TH ST,,S,25TH,ST,,,42001,,KY,37.06762672,37,4.058,-88.62135635,88,37.281,0.474,,,4,TRUE,1,
22721934,30210302,7301,PADUCAH,73,MCCRACKEN,20,,ELMWOOD COURT APARTMENTS,2319,S,25TH,ST,5,,42003,,KY,37.06765099,37,4.059,-88.62093572,88,37.256,0.495,,,4,TRUE,1,
22721936,30210304,7301,PADUCAH,73,MCCRACKEN,20,,3419 ROELL CIR,3419,,ROELL,CIR,F8,,42001,,KY,37.07912031,37,4.747,-88.65204828,88,39.123,0.088,,,3,TRUE,1,
22721937,30210305,7301,PADUCAH,73,MCCRACKEN,,,ADAMS ST,,,ADAMS,ST,,,42001,,KY,37.06979376,37,4.188,-88.62669162,88,37.601,1.197,,,,TRUE,1,
22721941,30210307,7301,PADUCAH,73,MCCRACKEN,41,,MORGAN ELEMENTARY,2200,S,28TH,ST,,,42001,,KY,37.06310493,37,3.786,-88.61990528,88,37.194,0.63,,,4,TRUE,1,
22721942,30210308,7301,PADUCAH,73,MCCRACKEN,4,Property_Recovery,MT SINAI M B CHURCH,1915,N,10TH,ST,,,42001,,KY,37.09498574,37,5.699,-88.62802141,88,37.681,0.461,,,1,TRUE,1,
